id;medico_id;nombre;apellido_paterno;apellido_materno;especialidad;telefono;correo;centro_salud_id
1;13956;sidetrack;scheme;quirkily unfortunately;complicated until ugh;whoa unless;ah yowza;17314
2;3626;almighty;deployment;gadzooks typeface;zowie;huzzah pfft;aggravating;30348
3;28584;zowie flowery near;where stable;rusty obtrude;large nautical around;stupendous slump;newsprint blah;18376
4;6404;fathom;excepting;tidy monster;boom psst regarding;boohoo delete;so boohoo colligate;16316
5;10655;intently sensitize;optimal exonerate;service;yum that till;meanwhile supposing;hmph apprehensive;5413
6;12405;birdbath how coaxingly;after obscure;midst;oh;dress joyously;conservative;22944
7;7497;guard wherever while;sticker scowl;optimistic willing tidy;obediently haircut gadzooks;scholarship;valentine;13613
8;1579;smug;catalog;around brr;why;gorgeous aha;cleverly;1515
9;5397;far ugh yearningly;whisper since unbalance;unaccountably;amid boohoo;until;meh expense;891
10;32161;phooey ew;over;ugh;perky ouch blah;inveigle;yahoo;20176
