id;paciente_id;nombre;apellido_paterno;apellido_materno;rut;fecha_nacimiento;genero;telefono;email;direccion
1;8637;mysterious faint CD;antique;ack;electric;2024-11-18;powerful of beside;interestingly readily abaft;Andres.AlanizPrado65@yahoo.com;gracefully haunting whether
2;28396;warmly immediately whenever;drat rapidly;yowza advocate considering;from;2024-11-18;quickly quickly;reluctantly mild;Patricia_OlivaresAcuna@hotmail.com;ouch vague
3;8713;irritably relieve veto;apud;without outfox;little space;2024-11-18;even;splurge woot;Olivia.OquendoAlmaraz54@yahoo.com;oh represent sympathetically
4;20328;watery deck definitive;impartial censor;although;since alongside pro;2024-11-19;faithfully;zowie oblong;Rosario_ZamoraConcepcion@yahoo.com;understated hospitable
5;10166;soon cake;supposing that;whereas shoulder inside;like inside querulous;2024-11-19;frantically;snappy pfft;Emilia.SepulvedaNevarez23@gmail.com;enormously teeming swiftly
6;19896;graceful likewise aside;not who hubris;easily;so resolve;2024-11-19;far fooey rebuke;anti;Patricio_TeranGranado@hotmail.com;against tightly round
7;22008;dependency hm bandwidth;sometimes;tool obnoxiously gah;exotic;2024-11-18;tensely;blah;Maria22@hotmail.com;comb
8;22970;why ha;wrongly snoopy plus;throughout embalm;clinch upbeat stitcher;2024-11-18;gah properly off;modulo these reflate;Antonio32@hotmail.com;per
9;19253;broken;till astride although;aw;yowza;2024-11-18;amongst;yuck rudely at;Adriana16@hotmail.com;of hospitable
10;20013;adrenalin;microblog proud mmm;downshift;rudely;2024-11-19;truthfully pepper how;reassuringly ah bah;Diego1@yahoo.com;unconscious enchanting
